ENSP00000335321|SF3B1	ENSSBOP00000006307.1	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSRROP00000014220.1	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSRNOP00000019126.4	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSPVAP00000007842.1	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSPANP00000006146.1	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSMUSP00000027127.7	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSLAFP00000001639.3	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSSTOP00000031931.1	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSP00000335321.5	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSFDAP00000009493.1	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSFCAP00000004665.3	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSCJAP00000007188.1	100.00	1304	0	0	1	1304	1	1304	0.0	2700
ENSP00000335321|SF3B1	ENSBTAP00000011734.5	99.92	1304	1	0	1	1304	1	1304	0.0	2699
ENSP00000335321|SF3B1	ENSECAP00000019342.1	99.92	1304	1	0	1	1304	1	1304	0.0	2699
ENSP00000335321|SF3B1	ENSDNOP00000009114.3	99.92	1305	0	1	1	1304	1	1305	0.0	2695
ENSP00000335321|SF3B1	ENSRROP00000014223.1	99.77	1302	1	1	3	1304	1	1300	0.0	2684
ENSP00000335321|SF3B1	ENSMMUP00000046546.1	100.00	1295	0	0	10	1304	34	1328	0.0	2684
ENSP00000335321|SF3B1	ENSFCAP00000037968.1	100.00	1296	0	0	9	1304	13	1308	0.0	2683
ENSP00000335321|SF3B1	ENSMMUP00000029521.3	100.00	1295	0	0	10	1304	16	1310	0.0	2683
ENSP00000335321|SF3B1	ENSLAFP00000020153.1	99.54	1302	5	1	4	1304	2	1303	0.0	2683
ENSP00000335321|SF3B1	ENSCPOP00000008395.3	99.85	1300	0	1	7	1304	7	1306	0.0	2682
ENSP00000335321|SF3B1	ENSNGAP00000023297.1	99.69	1300	3	1	5	1304	1	1299	0.0	2680
ENSP00000335321|SF3B1	ENSMODP00000015370.2	99.31	1304	8	1	1	1304	1	1303	0.0	2679
ENSP00000335321|SF3B1	ENSCPOP00000024524.1	100.00	1294	0	0	11	1304	1	1294	0.0	2679
ENSP00000335321|SF3B1	ENSAMEP00000014570.1	99.92	1296	0	1	10	1304	10	1305	0.0	2677
ENSP00000335321|SF3B1	ENSMLUP00000000782.2	98.77	1304	16	0	1	1304	1	1304	0.0	2661
ENSP00000335321|SF3B1	ENSSTOP00000009907.3	96.86	1304	4	2	1	1304	1	1267	0.0	2595
ENSP00000335321|SF3B1	ENSDORP00000002254.2	97.30	1295	0	1	10	1304	1	1260	0.0	2593
ENSP00000335321|SF3B1	ENSMAUP00000007497.1	95.75	1295	9	3	10	1304	16	1264	0.0	2484
ENSP00000335321|SF3B1	ENSSSCP00000017031.3	99.58	1189	3	1	1	1189	1	1187	0.0	2436
ENSP00000335321|SF3B1	ENSSSCP00000031130.1	100.00	1158	0	0	147	1304	1	1158	0.0	2402
ENSP00000335321|SF3B1	ENSSSCP00000047792.1	100.00	1158	0	0	147	1304	1	1158	0.0	2402
ENSP00000335321|SF3B1	ENSSSCP00000048653.1	100.00	1158	0	0	147	1304	1	1158	0.0	2402
ENSP00000335321|SF3B1	ENSSSCP00000050357.1	100.00	1158	0	0	147	1304	1	1158	0.0	2402
ENSP00000335321|SF3B1	ENSPTRP00000021823.3	91.45	1299	70	11	10	1304	6	1267	0.0	2329
ENSP00000335321|SF3B1	ENSSSCP00000040230.1	100.00	1099	0	0	1	1099	1	1099	0.0	2267
ENSP00000335321|SF3B1	ENSPPYP00000014574.2	98.81	1096	13	0	209	1304	45	1140	0.0	2249
ENSP00000335321|SF3B1	ENSOCUP00000021051.2	98.99	1084	11	0	221	1304	48	1131	0.0	2220
ENSP00000335321|SF3B1	ENSMAUP00000007485.1	84.80	1316	115	8	1	1304	1	1243	0.0	2175
ENSP00000335321|SF3B1	ENSTBEP00000007559.1	99.79	967	0	2	223	1189	223	1187	0.0	1984
ENSP00000335321|SF3B1	ENSTTRP00000003203.1	94.18	791	46	0	514	1304	514	1304	0.0	1519
